# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 21600 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.W Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.X Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.Y Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.Z Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.Accuracy Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: OrientationAccuracy Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Quat 1.W [Orientation],X [s],Avanti Sensor 1: Quat 1.X [Orientation],X [s],Avanti Sensor 1: Quat 1.Y [Orientation],X [s],Avanti Sensor 1: Quat 1.Z [Orientation],X [s],Avanti Sensor 1: Quat 1.Accuracy [OrientationAccuracy]
4.50000e-002,-5.94186e-005,6.75000e-001,7.93356e-001,6.75000e-001,3.73531e-002,6.75000e-001,2.99730e-002,6.75000e-001,6.06870e-001,6.75000e-001,3.54004e-002
4.60000e-002,-6.21042e-005,6.90000e-001,7.93109e-001,6.90000e-001,3.74335e-002,6.90000e-001,2.99322e-002,6.90000e-001,6.07190e-001,6.90000e-001,3.54004e-002
4.70000e-002,-6.00900e-005,7.05000e-001,7.93218e-001,7.05000e-001,3.74779e-002,7.05000e-001,2.98425e-002,7.05000e-001,6.07049e-001,7.05000e-001,3.54004e-002
4.80000e-002,-6.47898e-005,7.20000e-001,7.93212e-001,7.20000e-001,3.72634e-002,7.20000e-001,2.99127e-002,7.20000e-001,6.07067e-001,7.20000e-001,3.54004e-002
4.90000e-002,-6.81468e-005,7.35000e-001,7.93436e-001,7.35000e-001,3.70723e-002,7.35000e-001,2.99417e-002,7.35000e-001,6.06784e-001,7.35000e-001,3.54004e-002
5.00000e-002,-6.91539e-005,7.50000e-001,7.93453e-001,7.50000e-001,3.69998e-002,7.50000e-001,2.99332e-002,7.50000e-001,6.06767e-001,7.50000e-001,3.54004e-002
5.10000e-002,-6.41184e-005,7.65000e-001,7.93523e-001,7.65000e-001,3.66451e-002,7.65000e-001,2.98665e-002,7.65000e-001,6.06701e-001,7.65000e-001,3.54004e-002
5.20000e-002,-6.37827e-005,7.80000e-001,7.93625e-001,7.80000e-001,3.64577e-002,7.80000e-001,2.97276e-002,7.80000e-001,6.06585e-001,7.80000e-001,3.54004e-002
5.30000e-002,-6.17685e-005,7.95000e-001,7.93846e-001,7.95000e-001,3.62783e-002,7.95000e-001,2.95190e-002,7.95000e-001,6.06317e-001,7.95000e-001,3.54004e-002
5.40000e-002,-6.00900e-005,8.10000e-001,7.94030e-001,8.10000e-001,3.66951e-002,8.10000e-001,2.92014e-002,8.10000e-001,6.06066e-001,8.10000e-001,3.54004e-002
5.50000e-002,-5.37118e-005,8.25000e-001,7.94027e-001,8.25000e-001,3.68570e-002,8.25000e-001,2.90884e-002,8.25000e-001,6.06065e-001,8.25000e-001,3.54004e-002
5.60000e-002,-6.00900e-005,8.40000e-001,7.93906e-001,8.40000e-001,3.67683e-002,8.40000e-001,2.89605e-002,8.40000e-001,6.06236e-001,8.40000e-001,3.54004e-002
5.70000e-002,-6.21042e-005,8.55000e-001,7.93988e-001,8.55000e-001,3.68194e-002,8.55000e-001,2.89795e-002,8.55000e-001,6.06124e-001,8.55000e-001,3.54004e-002
5.80000e-002,-5.13619e-005,8.70000e-001,7.93927e-001,8.70000e-001,3.70669e-002,8.70000e-001,2.90724e-002,8.70000e-001,6.06184e-001,8.70000e-001,3.54004e-002
5.90000e-002,-4.93477e-005,8.85000e-001,7.93952e-001,8.85000e-001,3.71772e-002,8.85000e-001,2.92171e-002,8.85000e-001,6.06138e-001,8.85000e-001,3.54004e-002
6.00000e-002,-4.86763e-005,9.00000e-001,7.93905e-001,9.00000e-001,3.70058e-002,9.00000e-001,2.92724e-002,9.00000e-001,6.06207e-001,9.00000e-001,3.54004e-002
6.10000e-002,-5.20333e-005,9.15000e-001,7.93974e-001,9.15000e-001,3.69927e-002,9.15000e-001,2.92494e-002,9.15000e-001,6.06119e-001,9.15000e-001,3.54004e-002
6.20000e-002,-5.00191e-005,9.30000e-001,7.94067e-001,9.30000e-001,3.72622e-002,9.30000e-001,2.92082e-002,9.30000e-001,6.05983e-001,9.30000e-001,3.54004e-002
6.30000e-002,-5.13619e-005,9.45000e-001,7.94212e-001,9.45000e-001,3.74762e-002,9.45000e-001,2.88939e-002,9.45000e-001,6.05794e-001,9.45000e-001,3.54004e-002
6.40000e-002,-5.67330e-005,9.60000e-001,7.94134e-001,9.60000e-001,3.74716e-002,9.60000e-001,2.87936e-002,9.60000e-001,6.05902e-001,9.60000e-001,3.54004e-002
6.50000e-002,-5.97543e-005,9.75000e-001,7.94022e-001,9.75000e-001,3.74457e-002,9.75000e-001,2.87861e-002,9.75000e-001,6.06050e-001,9.75000e-001,3.54004e-002
6.60000e-002,-5.43832e-005,9.90000e-001,7.94099e-001,9.90000e-001,3.73967e-002,9.90000e-001,2.87231e-002,9.90000e-001,6.05956e-001,9.90000e-001,3.54004e-002
6.70000e-002,-6.00900e-005,1.00500e+000,7.94195e-001,1.00500e+000,3.72940e-002,1.00500e+000,2.86889e-002,1.00500e+000,6.05838e-001,1.00500e+000,3.54004e-002
6.80000e-002,-5.70687e-005,1.02000e+000,7.94214e-001,1.02000e+000,3.70572e-002,1.02000e+000,2.83525e-002,1.02000e+000,6.05843e-001,1.02000e+000,3.54004e-002
6.90000e-002,-5.74044e-005,1.03500e+000,7.94242e-001,1.03500e+000,3.69368e-002,1.03500e+000,2.80234e-002,1.03500e+000,6.05829e-001,1.03500e+000,3.54004e-002
7.00000e-002,-6.54612e-005,1.05000e+000,7.94447e-001,1.05000e+000,3.66818e-002,1.05000e+000,2.77745e-002,1.05000e+000,6.05587e-001,1.05000e+000,3.54004e-002
7.10000e-002,-6.47898e-005,1.06500e+000,7.94799e-001,1.06500e+000,3.63946e-002,1.06500e+000,2.73072e-002,1.06500e+000,6.05163e-001,1.06500e+000,3.54004e-002
7.20000e-002,-6.14328e-005,1.08000e+000,7.94855e-001,1.08000e+000,3.61544e-002,1.08000e+000,2.71794e-002,1.08000e+000,6.05110e-001,1.08000e+000,3.54004e-002
7.30000e-002,-5.94186e-005,1.09500e+000,7.95014e-001,1.09500e+000,3.58472e-002,1.09500e+000,2.71615e-002,1.09500e+000,6.04920e-001,1.09500e+000,3.54004e-002
7.40000e-002,-6.37827e-005,1.11000e+000,7.95165e-001,1.11000e+000,3.57923e-002,1.11000e+000,2.72010e-002,1.11000e+000,6.04724e-001,1.11000e+000,3.54004e-002
7.50000e-002,-5.94186e-005,1.12500e+000,7.95081e-001,1.12500e+000,3.58164e-002,1.12500e+000,2.72067e-002,1.12500e+000,6.04832e-001,1.12500e+000,3.54004e-002
7.60000e-002,-6.00900e-005,1.14000e+000,7.95115e-001,1.14000e+000,3.57809e-002,1.14000e+000,2.71921e-002,1.14000e+000,6.04790e-001,1.14000e+000,3.54004e-002
7.70000e-002,-5.63973e-005,1.15500e+000,7.95128e-001,1.15500e+000,3.55244e-002,1.15500e+000,2.71595e-002,1.15500e+000,6.04790e-001,1.15500e+000,3.54004e-002
7.80000e-002,-5.67330e-005,1.17000e+000,7.95253e-001,1.17000e+000,3.51731e-002,1.17000e+000,2.70295e-002,1.17000e+000,6.04651e-001,1.17000e+000,3.54004e-002
7.90000e-002,-6.47898e-005,1.18500e+000,7.95325e-001,1.18500e+000,3.49956e-002,1.18500e+000,2.70436e-002,1.18500e+000,6.04566e-001,1.18500e+000,3.54004e-002
8.00000e-002,-6.54612e-005,1.20000e+000,7.95189e-001,1.20000e+000,3.46913e-002,1.20000e+000,2.69947e-002,1.20000e+000,6.04766e-001,1.20000e+000,3.54004e-002
8.10000e-002,-6.91539e-005,1.21500e+000,7.95137e-001,1.21500e+000,3.44185e-002,1.21500e+000,2.69147e-002,1.21500e+000,6.04853e-001,1.21500e+000,3.54004e-002
8.20000e-002,-6.68040e-005,1.23000e+000,7.95162e-001,1.23000e+000,3.41550e-002,1.23000e+000,2.67778e-002,1.23000e+000,6.04840e-001,1.23000e+000,3.54004e-002
8.30000e-002,-6.94896e-005,1.24500e+000,7.95171e-001,1.24500e+000,3.40645e-002,1.24500e+000,2.66859e-002,1.24500e+000,6.04838e-001,1.24500e+000,3.54004e-002
8.40000e-002,-5.53903e-005,1.26000e+000,7.95175e-001,1.26000e+000,3.39245e-002,1.26000e+000,2.66993e-002,1.26000e+000,6.04840e-001,1.26000e+000,3.54004e-002
8.50000e-002,-5.74044e-005,1.27500e+000,7.95102e-001,1.27500e+000,3.36184e-002,1.27500e+000,2.66946e-002,1.27500e+000,6.04953e-001,1.27500e+000,3.54004e-002
8.60000e-002,-5.74044e-005,1.29000e+000,7.95251e-001,1.29000e+000,3.33154e-002,1.29000e+000,2.67154e-002,1.29000e+000,6.04774e-001,1.29000e+000,3.54004e-002
8.70000e-002,-5.06905e-005,1.30500e+000,7.95420e-001,1.30500e+000,3.29661e-002,1.30500e+000,2.67359e-002,1.30500e+000,6.04569e-001,1.30500e+000,3.54004e-002
8.80000e-002,-5.27047e-005,1.32000e+000,7.95470e-001,1.32000e+000,3.28198e-002,1.32000e+000,2.67322e-002,1.32000e+000,6.04511e-001,1.32000e+000,3.54004e-002
