# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 33000 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Pitch 1 [degrees],X [s],Avanti Sensor 1: Roll 1 [degrees],X [s],Avanti Sensor 1: Yaw 1 [degrees]
1.23000e-001,7.16716e-004,1.84500e+000,-1.78435e+000,1.84500e+000,-3.67047e-001,1.84500e+000,-9.42343e+001
1.24000e-001,4.30399e-003,1.86000e+000,-1.78152e+000,1.86000e+000,-3.67558e-001,1.86000e+000,-9.42288e+001
1.25000e-001,7.79559e-003,1.87500e+000,-1.77769e+000,1.87500e+000,-3.71172e-001,1.87500e+000,-9.41795e+001
1.26000e-001,1.03539e-002,1.89000e+000,-1.77504e+000,1.89000e+000,-3.74395e-001,1.89000e+000,-9.41731e+001
1.27000e-001,1.07279e-002,1.90500e+000,-1.76865e+000,1.90500e+000,-3.71075e-001,1.90500e+000,-9.42151e+001
1.28000e-001,9.78595e-003,1.92000e+000,-1.76890e+000,1.92000e+000,-3.74519e-001,1.92000e+000,-9.42200e+001
1.29000e-001,7.14400e-003,1.93500e+000,-1.76665e+000,1.93500e+000,-3.74560e-001,1.93500e+000,-9.42339e+001
1.30000e-001,3.95688e-003,1.95000e+000,-1.77066e+000,1.95000e+000,-3.68025e-001,1.95000e+000,-9.42366e+001
1.31000e-001,7.03288e-004,1.96500e+000,-1.76586e+000,1.96500e+000,-3.69584e-001,1.96500e+000,-9.42173e+001
1.32000e-001,-2.66310e-003,1.98000e+000,-1.77003e+000,1.98000e+000,-3.63365e-001,1.98000e+000,-9.41985e+001
1.33000e-001,-6.31751e-003,1.99500e+000,-1.76682e+000,1.99500e+000,-3.62657e-001,1.99500e+000,-9.41637e+001
1.34000e-001,-1.00924e-002,2.01000e+000,-1.76961e+000,2.01000e+000,-3.69627e-001,2.01000e+000,-9.41478e+001
1.35000e-001,-1.09857e-002,2.02500e+000,-1.76902e+000,2.02500e+000,-3.67025e-001,2.02500e+000,-9.41629e+001
1.36000e-001,-1.08102e-002,2.04000e+000,-1.76784e+000,2.04000e+000,-3.67303e-001,2.04000e+000,-9.41476e+001
1.37000e-001,-9.30019e-003,2.05500e+000,-1.77341e+000,2.05500e+000,-3.64476e-001,2.05500e+000,-9.41187e+001
1.38000e-001,-5.45779e-003,2.07000e+000,-1.77196e+000,2.07000e+000,-3.62912e-001,2.07000e+000,-9.40988e+001
1.39000e-001,-1.48244e-003,2.08500e+000,-1.77254e+000,2.08500e+000,-3.62967e-001,2.08500e+000,-9.41241e+001
1.40000e-001,2.15216e-003,2.10000e+000,-1.76877e+000,2.10000e+000,-3.62027e-001,2.10000e+000,-9.41342e+001
1.41000e-001,5.72500e-003,2.11500e+000,-1.76495e+000,2.11500e+000,-3.65041e-001,2.11500e+000,-9.41396e+001
1.42000e-001,9.11321e-003,2.13000e+000,-1.76683e+000,2.13000e+000,-3.60979e-001,2.13000e+000,-9.41473e+001
