# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: Pitch 1 [degrees],Avanti Sensor 1: Roll 1 [degrees],Avanti Sensor 1: Yaw 1 [degrees]
4.425000e+000,-9.349462e-001,-2.880611e-001,-1.513564e+001
4.440000e+000,-9.345936e-001,-2.895512e-001,-1.515427e+001
4.455000e+000,-9.352869e-001,-2.868390e-001,-1.513022e+001
4.470000e+000,-9.339499e-001,-2.889358e-001,-1.513990e+001
4.485000e+000,-9.377915e-001,-2.888348e-001,-1.511260e+001
4.500000e+000,-9.347259e-001,-2.952148e-001,-1.510553e+001
4.515000e+000,-9.317917e-001,-2.941026e-001,-1.514387e+001
4.530000e+000,-9.318345e-001,-2.946300e-001,-1.513553e+001
4.545000e+000,-9.334800e-001,-2.994671e-001,-1.510816e+001
4.560000e+000,-9.387230e-001,-2.986906e-001,-1.508033e+001
4.575000e+000,-9.371384e-001,-3.016658e-001,-1.507915e+001
4.590000e+000,-9.403626e-001,-3.022164e-001,-1.510121e+001
4.605000e+000,-9.386216e-001,-2.987319e-001,-1.509373e+001
4.620000e+000,-9.391809e-001,-2.995014e-001,-1.509733e+001
4.635000e+000,-9.423128e-001,-2.989289e-001,-1.512840e+001
4.650000e+000,-9.375512e-001,-3.027576e-001,-1.511469e+001
4.665000e+000,-9.366652e-001,-3.074501e-001,-1.510899e+001
4.680000e+000,-9.396483e-001,-3.118496e-001,-1.512207e+001
4.695000e+000,-9.361362e-001,-3.160167e-001,-1.514473e+001
4.710000e+000,-9.369026e-001,-3.133203e-001,-1.513933e+001
4.725000e+000,-9.360482e-001,-3.170060e-001,-1.512735e+001
4.740000e+000,-9.359536e-001,-3.124985e-001,-1.512952e+001
4.755000e+000,-9.326122e-001,-3.171267e-001,-1.513892e+001
4.770000e+000,-9.378807e-001,-3.152357e-001,-1.511500e+001
4.785000e+000,-9.417185e-001,-3.185545e-001,-1.511793e+001
4.800000e+000,-9.377527e-001,-3.193866e-001,-1.514556e+001
4.815000e+000,-9.356840e-001,-3.196982e-001,-1.518668e+001
4.830000e+000,-9.348612e-001,-3.208869e-001,-1.518489e+001
