# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 21690 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 1446 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 1446 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 1446 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Pitch 1 [degrees],X [s],Avanti Sensor 1: Roll 1 [degrees],X [s],Avanti Sensor 1: Yaw 1 [degrees]
1.24000e-001,-1.09871e-002,1.86000e+000,-6.81950e+001,1.86000e+000,3.09607e+001,1.86000e+000,-8.08327e+001
1.25000e-001,-1.09877e-002,1.87500e+000,-6.85286e+001,1.87500e+000,3.10532e+001,1.87500e+000,-8.11999e+001
1.26000e-001,-1.09877e-002,1.89000e+000,-6.88530e+001,1.89000e+000,3.11263e+001,1.89000e+000,-8.14423e+001
1.27000e-001,-1.09884e-002,1.90500e+000,-6.90231e+001,1.90500e+000,3.12610e+001,1.90500e+000,-8.14297e+001
1.28000e-001,-1.09884e-002,1.92000e+000,-6.90737e+001,1.92000e+000,3.13970e+001,1.92000e+000,-8.10011e+001
1.29000e-001,-7.89294e-003,1.93500e+000,-6.89904e+001,1.93500e+000,3.14506e+001,1.93500e+000,-8.04599e+001
1.30000e-001,9.68322e-003,1.95000e+000,-6.85694e+001,1.95000e+000,3.15402e+001,1.95000e+000,-7.92799e+001
1.31000e-001,1.01545e-002,1.96500e+000,-6.80718e+001,1.96500e+000,3.15327e+001,1.96500e+000,-7.82191e+001
1.32000e-001,9.96521e-003,1.98000e+000,-6.76132e+001,1.98000e+000,3.14162e+001,1.98000e+000,-7.72924e+001
1.33000e-001,2.37641e-003,1.99500e+000,-6.71437e+001,1.99500e+000,3.12043e+001,1.99500e+000,-7.64568e+001
1.34000e-001,-1.09582e-002,2.01000e+000,-6.69412e+001,2.01000e+000,3.10693e+001,2.01000e+000,-7.61970e+001
1.35000e-001,-1.09864e-002,2.02500e+000,-6.67976e+001,2.02500e+000,3.09140e+001,2.02500e+000,-7.59934e+001
1.36000e-001,-1.09874e-002,2.04000e+000,-6.67174e+001,2.04000e+000,3.08618e+001,2.04000e+000,-7.59083e+001
1.37000e-001,-1.09881e-002,2.05500e+000,-6.66512e+001,2.05500e+000,3.08215e+001,2.05500e+000,-7.58950e+001
1.38000e-001,-1.09884e-002,2.07000e+000,-6.66274e+001,2.07000e+000,3.07917e+001,2.07000e+000,-7.59186e+001
1.39000e-001,-1.08290e-002,2.08500e+000,-6.66553e+001,2.08500e+000,3.07257e+001,2.08500e+000,-7.59902e+001
1.40000e-001,-1.06343e-002,2.10000e+000,-6.68087e+001,2.10000e+000,3.06204e+001,2.10000e+000,-7.61875e+001
1.41000e-001,-1.04446e-002,2.11500e+000,-6.69346e+001,2.11500e+000,3.05366e+001,2.11500e+000,-7.63673e+001
1.42000e-001,-1.02600e-002,2.13000e+000,-6.70980e+001,2.13000e+000,3.04539e+001,2.13000e+000,-7.66077e+001
1.43000e-001,-1.00810e-002,2.14500e+000,-6.72226e+001,2.14500e+000,3.04337e+001,2.14500e+000,-7.68114e+001
1.44000e-001,-9.90646e-003,2.16000e+000,-6.73670e+001,2.16000e+000,3.04267e+001,2.16000e+000,-7.70283e+001
1.45000e-001,-9.73626e-003,2.17500e+000,-6.75265e+001,2.17500e+000,3.04792e+001,2.17500e+000,-7.73035e+001
1.46000e-001,-9.57143e-003,2.19000e+000,-6.75899e+001,2.19000e+000,3.05596e+001,2.19000e+000,-7.74618e+001
1.47000e-001,-9.41064e-003,2.20500e+000,-6.76698e+001,2.20500e+000,3.06391e+001,2.20500e+000,-7.76369e+001
1.48000e-001,-9.25454e-003,2.22000e+000,-6.77340e+001,2.22000e+000,3.06992e+001,2.22000e+000,-7.78257e+001
1.49000e-001,-8.28034e-003,2.23500e+000,-6.78049e+001,2.23500e+000,3.07400e+001,2.23500e+000,-7.80297e+001
1.50000e-001,-9.98032e-004,2.25000e+000,-6.78371e+001,2.25000e+000,3.07263e+001,2.25000e+000,-7.81096e+001
1.51000e-001,9.16558e-003,2.26500e+000,-6.78608e+001,2.26500e+000,3.06963e+001,2.26500e+000,-7.81268e+001
1.52000e-001,1.08743e-002,2.28000e+000,-6.78680e+001,2.28000e+000,3.06022e+001,2.28000e+000,-7.80853e+001
1.53000e-001,1.08763e-002,2.29500e+000,-6.79003e+001,2.29500e+000,3.05010e+001,2.29500e+000,-7.79966e+001
1.54000e-001,1.08776e-002,2.31000e+000,-6.79279e+001,2.31000e+000,3.02783e+001,2.31000e+000,-7.78541e+001
1.55000e-001,1.08783e-002,2.32500e+000,-6.79737e+001,2.32500e+000,3.00704e+001,2.32500e+000,-7.77023e+001
1.56000e-001,1.08786e-002,2.34000e+000,-6.80425e+001,2.34000e+000,2.98204e+001,2.34000e+000,-7.75694e+001
